"","state","count","lng","lat"
"1","Alabama",129,-86.902298,32.3182314
"2","Alaska",36,-149.4936733,64.2008413
"3","Arizona",148,-111.0937311,34.0489281
"4","Arkansas",143,-91.8318334,35.20105
"5","California",1283,-119.4179324,36.778261
"6","Colorado",168,-105.7820674,39.5500507
"7","Connecticut",170,-73.087749,41.6032207
"8","Delaware",12,-75.5276699,38.9108325
"9","District of Columbia",63,-77.0368707,38.9071923
"10","Florida",878,-81.5157535,27.6648274
"11","Georgia",631,-82.9000751,32.1656221
"12","Hawaii",28,-155.5827818,19.8967662
"13","Idaho",101,-114.7420408,44.0682019
"14","Illinois",402,-89.3985283,40.6331249
"15","Indiana",144,-86.1349019,40.2671941
"16","Iowa",48,-93.097702,41.8780025
"17","Kansas",63,-98.4842465,39.011902
"18","Kentucky",48,-84.2700179,37.8393332
"19","Louisiana",156,-91.9623327,30.9842977
"20","Maine",25,-69.4454689,45.253783
"21","Maryland",269,-76.6412712,39.0457549
"22","Massachusetts",292,-71.3824374,42.4072107
"23","Michigan",175,-85.6023643,44.3148443
"24","Minnesota",102,-94.6858998,46.729553
"25","Mississippi",19,-89.3985283,32.3546679
"26","Missouri",106,-91.8318334,37.9642529
"27","Montana",13,-110.3625658,46.8796822
"28","Nebraska",44,-99.9018131,41.4925374
"29","Nevada",115,-116.419389,38.8026097
"30","New Hampshire",38,-71.5723953,43.1938516
"31","New Jersey",480,-74.4056612,40.0583238
"32","New Mexico",92,-105.8700901,34.5199402
"33","New York",859,-74.0059728,40.7127753
"34","North Carolina",478,-79.0192997,35.7595731
"35","North Dakota",4,-101.0020119,47.5514926
"36","Ohio",369,-82.907123,40.4172871
"37","Oklahoma",126,-97.092877,35.0077519
"38","Oregon",153,-120.5542012,43.8041334
"39","Pennsylvania",438,-77.1945247,41.2033216
"40","Rhode Island",27,-71.4774291,41.5800945
"41","South Carolina",206,-81.1637245,33.836081
"42","South Dakota",8,-99.9018131,43.9695148
"43","Tennessee",271,-86.5804473,35.5174913
"44","Texas",1054,-99.9018131,31.9685988
"45","Utah",128,-111.0937311,39.3209801
"46","Vermont",6,-72.5778415,44.5588028
"47","Virginia",436,-78.6568942,37.4315734
"48","Washington",173,-120.7401385,47.7510741
"49","West Virginia",19,-80.4549026,38.5976262
"50","Wisconsin",250,-88.7878678,43.7844397
"51","Wyoming",36,-107.2902839,43.0759678
